node_id,lat,lon
4061,8169491.192171924,587475.0287042755
4063,8169619.553493646,587549.369125192
4069,8170953.377409128,588725.7352711149
4070,8171141.750871256,588840.6194874994
4214,8171218.943955789,586750.301786303
4215,8171963.146407088,586547.9892990091
4222,8158997.266978357,573722.6967740677
4236,8172201.350254625,565294.5421719328
4238,8176586.47372351,585144.4921765217
4239,8176590.954533197,585116.4274298376
4240,8176576.650482686,585110.7138617921
4241,8176570.535676854,585140.7360879271
4242,8176521.012628393,585315.3320383482
4294,8171983.20119874,589297.8523145677
4296,8172033.073329537,589329.9568234668
4298,8172083.544283657,589361.7118067109
4300,8172132.822878705,589392.8643653212
4302,8172183.624662247,589424.8557881386
4304,8172234.961381229,589458.5570474922
4306,8172289.173494134,589495.1517895303
4309,8171959.608377753,589320.6125996732
4311,8172008.568416906,589351.2299959006
4313,8172059.532558866,589384.0968908651
4315,8172110.078526882,589416.4179470476
4317,8172159.792016645,589449.3866533302
4321,8172266.285780351,589523.8806059881
4392,8171716.917813299,589173.5443950666
4408,8171553.218761074,589079.5336771898
4411,8171304.263934426,588935.3901130098
4614,8169170.607071078,587899.1049910191
4615,8169576.604464677,588149.6101885925
4616,8170149.419067735,588244.6586241899
4971,8170297.05121825,586121.7493786772
4972,8170528.691293031,586355.6842896887
5073,8170581.422156729,586057.1586846187
5087,8176257.923752185,585927.2280822226
5088,8176348.600181052,585731.9858110348
5375,8174671.638878167,587798.1206199102
5378,8174655.840909468,587901.0486403557
5382,8174645.76412871,587987.2436475059
5383,8174659.305472202,587903.3147543275
5509,8167176.465408289,585709.8863214023
5799,7882846.265503546,1060681.5220986283
5801,7995901.540248416,1039251.3670700132
5803,7991918.704381121,1038588.4574473032
5804,7596759.412053039,652637.4934328364
5805,7597246.041701173,652662.2249811267
5808,7598926.138470183,652399.2550785259
5809,7594541.420965223,656863.8623789775
5810,7597343.101680416,653361.5427812154
5811,7982775.476021741,903943.8875013776
5812,7981441.804182,902592.4133399144
5813,7918105.414893135,909349.926777002
5814,7913831.989169567,909076.2246312468
5830,8033065.941876536,1083550.0736629446
5873,8016805.476504536,1103625.5872026077
5874,8017127.164317897,1104204.6518018674
5875,8017086.906450245,1104222.3851168435
5879,8024164.888491573,1111800.5022828165
5880,8016756.032214972,1103536.414488779
5887,8183336.46282093,599074.7871489852
5888,8192861.736522832,602652.1754023747
5889,8186239.724086636,595938.7926443412
5895,8184327.347486226,600866.7899121012
5896,8185415.858744181,601388.8409057443
5956,8171430.204184803,601701.7028035717
5957,8171697.852324041,602347.1593634752
5959,8177870.030437237,590864.6660208702
5960,8177538.003016804,591142.2928914756
5964,7552443.041035784,850783.7108954028
5965,7552336.625208901,851260.784490838
5971,7552399.94484601,851267.006338149
5972,7553127.63789897,851260.2635255721
5977,7777624.887908438,1072661.8575386484
5978,7776717.356445761,1072599.5848645533
6027,7773801.343180409,1072195.4967910086
6028,7773245.634356083,1072987.0928914864
6042,8076183.452933146,802326.4227904759
6077,8076075.674439474,800965.6318780524
6085,8075306.470838266,800202.3839921632
6103,8075934.840490114,800274.3566263486
6111,8075903.67259388,801109.8605427948
6112,8075839.498164991,801242.9513226703
6113,8075800.949493577,801302.9929155059
