node_id,lat,lon
565,7886879.200691502,945766.5148988406
566,7887286.338828326,944134.3059921886
567,7880082.830740105,952425.2875858516
568,7880259.810864307,952270.9204886572
569,7865269.961739206,979173.4249326788
570,7872278.8593578655,977336.8775428764
571,7923372.463113544,994272.0685664318
572,7923493.721869146,994116.0712204446
573,7906617.581955848,995307.7253648968
574,7903098.785650589,995648.580817049
575,7990334.272513287,1006560.739574
576,7990277.227355169,1006548.7872431764
577,7981453.007421802,1042076.298145594
578,7981991.571494162,1042339.373615744
579,7996373.043694651,1016569.8607245008
580,7993484.396601242,1016351.8517623306
581,8003606.959278213,1020211.5191638636
582,7997290.075966153,1016821.7692670048
583,7983919.407556152,1038903.5470373128
584,7986970.137652863,1035553.7276570278
585,7999186.361632263,983627.6489853616
586,7999149.470792238,983671.0757092384
587,8010965.596858821,977213.1926865802
588,8008055.354521482,977891.7779223124
589,7992715.584413511,983765.4782413192
590,7992721.74397348,983774.8867118164
591,7988985.3240127135,999071.5021619932
592,7988191.085354529,1003130.9915150031
593,8058944.078367992,822531.2567425931
594,8058941.080596301,822553.1466950051
595,8046053.063459795,900062.1487601907
596,8045945.557457174,900317.7366730876
597,8072733.449439391,801268.4864365421
598,8072618.839378568,801557.5927433134
599,8071522.251967136,802404.8869596045
600,8071328.680599636,802368.0848549434
601,8075324.942353884,802763.4043263404
602,8075449.573031882,802876.1330236172
603,8074704.157363977,786739.9033099422
604,8074692.247018481,786462.6556787905
605,8074721.050418546,787436.7312798533
606,8074716.172248173,787523.3163461566
607,8074846.94970412,789764.2740312172
608,8074845.744357034,789774.2527990744
609,8074862.232470829,789831.2624137893
610,8074901.167448076,790263.7816240075
611,8025088.782729887,1119270.8113430827
612,8025064.734122804,1119285.2127243488
613,8024077.010896416,1116800.612821048
614,8024133.136421791,1117459.9771921416
615,8027982.769361276,1114661.90424016
616,8028009.971385518,1114241.567294836
617,8028015.267181386,1114112.9678214486
618,8157107.849030589,604049.9438869684
619,8157225.555748871,603573.2891510169
620,8045479.848933352,706663.5589837997
621,8040277.2735106,707035.8053673035
622,8160171.368061832,587343.2570891724
623,8160561.893887563,587317.871076038
624,8083971.682361357,632423.3697734494
625,8082740.800219219,634203.8414488378
626,8045026.094781611,770908.6098558113
627,8044151.428216808,772364.3938420461
628,8168486.734906211,595923.2165926709
629,8168460.757649604,595913.4120589335
630,8168150.157790991,596712.5460589253
631,8168480.707732663,595977.072926834
632,8168101.808741312,596874.668886863
633,8167758.842817797,597581.7749048038
634,8168907.712335955,596590.3109238246
635,8168935.19556357,596616.9501656548
636,8168971.6176949935,596655.9325259964
637,8212458.325457823,490643.4439619811
638,8212523.475052736,490353.8720234655
639,8174851.520332052,591711.7165786533
640,8174900.853700627,591791.5796180338
641,8175534.950941537,592695.8087110211
642,8175475.714752438,592827.5828650038
643,8175516.192222622,592416.8438669858
644,8175109.665972459,592714.4377580556
645,8174797.0483480925,593675.7329961224
646,8174814.756299322,593689.439552184
647,8175904.225278222,593477.6359405239
